,0,1,2,3,size_Q
score,271.0,123.0,325.0,126.0,0.0
score,257.5,142.5,292.5,124.5,0.0
score,252.66666666666666,132.0,278.0,149.66666666666666,0.0
score,255.25,136.0,281.25,140.25,0.0
score,264.0,143.2,281.0,132.8,0.0
score,262.1666666666667,137.83333333333334,287.3333333333333,132.0,0.0
score,267.57142857142856,140.28571428571428,293.0,127.85714285714286,0.0
score,273.625,137.625,284.625,123.5,0.0
score,271.6666666666667,138.0,281.44444444444446,127.0,0.0
score,273.6,138.2,282.2,126.7,0.0
